ID US,User Story,ID Tache,Tache Technique Detaillee,Estimation (min),Responsable
US-5.16,Le systeme empeche participation a evenement annule,T5.16.1,Verification deja implementee dans validateParticipation() de Participation.php: if ($this->evenement->getIsCanceled()) { $this->setStatut(StatutParticipation::REFUSE); return ['accepted' => false]; },10,Admin
US-5.16,Le systeme empeche participation a evenement annule,T5.16.2,Verification supplementaire dans participate() de FrontofficeEvenementController: if (!$evenement->canAcceptParticipations()),10,Admin
US-5.16,Le systeme empeche participation a evenement annule,T5.16.3,Tester avec evenement annule: tenter de creer equipe/participation -> verifier message Event is cancelled et redirection,20,Admin
US-5.17,Le systeme limite a capacite maximale,T5.17.1,Logique deja implementee dans validateParticipation(): comparaison $nbAcceptees < $nbMax,5,Admin
US-5.17,Le systeme limite a capacite maximale,T5.17.2,Tests supplementaires de cas limites: evenement avec nbMax=5 creer 5 participations acceptees tenter 6eme -> verifier refus,25,Admin
US-5.18,Le systeme verifie taille d'equipe (4-6),T5.18.1,Validation deja implementee dans Equipe.php: Assert\Count(min: 4 max: 6 minMessage: Une equipe doit avoir au moins 4 etudiants maxMessage: Une equipe ne peut pas avoir plus de 6 etudiants),5,Admin
US-5.18,Le systeme verifie taille d'equipe (4-6),T5.18.2,Messages d'erreur personnalises deja configures avec {{ limit }} pour afficher le nombre,5,Admin
US-5.18,Le systeme verifie taille d'equipe (4-6),T5.18.3,Tests complets: creer equipe avec 3 membres -> erreur au moins 4 4 membres -> succes 6 membres -> succes 7 membres -> erreur pas plus de 6,35,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.1,Installer SendGrid: composer require symfony/sendgrid-mailer,10,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.2,Configurer dans .env.local: MAILER_DSN=sendgrid://KEY@default avec cle API SendGrid obtenue sur sendgrid.com,15,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.3,Creer src/Service/EmailService.php avec injection MailerInterface $mailer BadgeService $badgeService string $mailerFrom dans __construct,25,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.4,Implementer methode sendParticipationConfirmation(Participation $participation Equipe $equipe Evenement $evenement): void,45,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.5,Installer endroid/qr-code: composer require endroid/qr-code,10,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.6,Generer QR code dans sendParticipationConfirmation: $qrCode = QrCode::create($data)->setSize(300)->setMargin(10); $writer = new PngWriter(); $result = $writer->write($qrCode); $qrCodeData = $result->getString(); avec data = JSON contenant ID participation evenement equipe,35,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.7,Creer src/Service/BadgeService.php avec injection Dompdf $dompdf,30,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.8,Installer dompdf: composer require dompdf/dompdf,10,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.9,Implementer methode generateBadge(Etudiant $etudiant Evenement $evenement string $qrCodeData): string qui retourne PDF en string,60,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.10,Design badge HTML/CSS: logo en haut nom evenement nom etudiant QR code date lieu style professionnel avec gradients,50,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.11,Creer template templates/emails/participation_confirmation.html.twig avec design moderne informations evenement message personnalise,50,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.12,Generer fichier .ics: implementer generateIcsFile(Evenement $evenement): string avec format iCalendar (BEGIN:VCALENDAR VERSION:2.0 VEVENT avec DTSTART DTEND SUMMARY LOCATION DESCRIPTION UID),40,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.13,Dans sendParticipationConfirmation: creer email avec $email = (new Email())->from($this->mailerFrom)->to($etudiant->getEmail())->subject('Participation Confirmed')->htmlTemplate('emails/participation_confirmation.html.twig'),25,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.14,Attacher fichiers: $email->attach($qrCodeData 'qrcode.png' 'image/png')->attach($badgePdf 'badge.pdf' 'application/pdf')->attach($icsFile 'event.ics' 'text/calendar'),30,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.15,Envoyer email: $this->mailer->send($email) avec gestion erreurs try/catch,20,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.16,Appeler sendParticipationConfirmation() dans FrontofficeParticipationController apres $result = $participation->validateParticipation() si $result['accepted'] === true boucle sur tous etudiants de l'equipe,25,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.17,Tester envoi email: creer participation acceptee -> verifier email recu avec 3 pieces jointes (QR code PNG badge PDF event.ics),30,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.18,Tester QR code: scanner avec smartphone -> verifier donnees decodees (ID participation evenement equipe),20,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.19,Tester badge PDF: ouvrir fichier -> verifier design professionnel toutes informations presentes QR code visible,20,Admin
US-5.19,Le systeme envoie email confirmation avec QR code et badge PDF,T5.19.20,Tester fichier .ics: importer dans Google Calendar/Outlook -> verifier evenement ajoute avec dates lieu description corrects,25,Admin
US-5.20,Le systeme envoie email annulation evenement,T5.20.1,Creer methode sendEventCancellation(Evenement $evenement Equipe $equipe): void dans EmailService,30,Admin
US-5.20,Le systeme envoie email annulation evenement,T5.20.2,Creer template templates/emails/event_cancelled.html.twig avec message d'excuses informations evenement annule design professionnel,40,Admin
US-5.20,Le systeme envoie email annulation evenement,T5.20.3,Creer src/EventSubscriber/EvenementWorkflowSubscriber.php avec implements EventSubscriberInterface,25,Admin
US-5.20,Le systeme envoie email annulation evenement,T5.20.4,Injecter dependances: EmailService $emailService LoggerInterface $logger dans __construct,15,Admin
US-5.20,Le systeme envoie email annulation evenement,T5.20.5,Implementer getSubscribedEvents(): array retournant ['workflow.evenement_publishing.entered.annule' => 'onAnnule'],20,Admin
US-5.20,Le systeme envoie email annulation evenement,T5.20.6,Implementer methode onAnnule(Event $event): void qui recupere evenement: $evenement = $event->getSubject(),25,Admin
US-5.20,Le systeme envoie email annulation evenement,T5.20.7,Parcourir participations acceptees: foreach ($evenement->getParticipations() as $participation) { if ($participation->getStatut()->value === 'Accepte') { $equipe = $participation->getEquipe(); foreach ($equipe->getEtudiants() as $etudiant) { try { $this->emailService->sendEventCancellation($evenement $equipe); $this->logger->info('Email sent'); } catch (\Exception $e) { $this->logger->error('Email failed: ' . $e->getMessage()); } } } },45,Admin
US-5.20,Le systeme envoie email annulation evenement,T5.20.8,Logger succes/echecs avec contexte (ID evenement email etudiant),20,Admin
US-5.20,Le systeme envoie email annulation evenement,T5.20.9,Tester: creer evenement avec 2 equipes acceptees (8 etudiants total) -> annuler evenement -> verifier 8 emails envoyes consulter logs,35,Admin
US-5.21,Le systeme envoie email demarrage evenement,T5.21.1,Creer methode sendEventStarted(Evenement $evenement Equipe $equipe): void dans EmailService,30,Admin
US-5.21,Le systeme envoie email demarrage evenement,T5.21.2,Creer template templates/emails/event_started.html.twig avec message de bienvenue rappel lieu/horaires,40,Admin
US-5.21,Le systeme envoie email demarrage evenement,T5.21.3,Ajouter dans getSubscribedEvents(): 'workflow.evenement_publishing.entered.en_cours' => 'onEnCours',15,Admin
US-5.21,Le systeme envoie email demarrage evenement,T5.21.4,Implementer methode onEnCours(Event $event): void avec meme logique que onAnnule mais appel sendEventStarted(),35,Admin
US-5.21,Le systeme envoie email demarrage evenement,T5.21.5,Tester: evenement avec dateDebut = maintenant -> executer commande workflow -> verifier emails envoyes,25,Admin
US-5.22,Le systeme envoie email rappel 3 jours avant,T5.22.1,Creer src/Command/SendEventRemindersCommand.php avec #[AsCommand(name: 'app:send-event-reminders')],30,Admin
US-5.22,Le systeme envoie email rappel 3 jours avant,T5.22.2,Injecter: EvenementRepository $evenementRepository EmailService $emailService,15,Admin
US-5.22,Le systeme envoie email rappel 3 jours avant,T5.22.3,Recuperer evenements dans 3 jours: $targetDate = (new \DateTime())->modify('+3 days'); $evenements = $evenementRepository->createQueryBuilder('e')->where('DATE(e.dateDebut) = :targetDate')->setParameter('targetDate' $targetDate->format('Y-m-d'))->getQuery()->getResult();,35,Admin
US-5.22,Le systeme envoie email rappel 3 jours avant,T5.22.4,Creer methode sendEventReminder(Evenement $evenement Equipe $equipe): void dans EmailService,30,Admin
US-5.22,Le systeme envoie email rappel 3 jours avant,T5.22.5,Creer template templates/emails/event_reminder.html.twig avec countdown 3 days left! checklist preparation,40,Admin
